Latitude,Longitude,SIV,heading,speed,distanceBetween,targetHeading,currentHeading,headingError,gpsError,averageGPSError,lat,long,index
335439786,-820339043,31,14101944,1233,154.72,143.73,145.27,-0.01,4.25,-18.14,33.5439786,-82.0339043,0
335439698,-820338964,31,14354354,1221,153.49,143.74,146.19,-0.01,2.64,-18.14,33.5439698,-82.0338964,0
335439611,-820338886,31,14283380,1211,152.29,143.74,146.26,-0.01,3.42,-18.14,33.5439611,-82.0338886,0
335439532,-820338679,31,14014484,1217,150.45,144.13,146.77,-0.01,6.62,-18.14,33.5439532,-82.0338679,0
335439451,-820338573,31,14323132,1225,149.14,144.23,147.45,-0.02,4.21,-18.14,33.5439451,-82.0338573,0
335439345,-820338516,31,14757288,1234,147.88,144.13,145.48,-0.01,-2.09,-15.5,33.5439345,-82.0338516,0
335439256,-820338440,31,14595020,1225,146.66,144.13,146.59,-0.01,0.64,-15.5,33.5439256,-82.033844,0
335439154,-820338380,31,14897326,1209,145.42,144.04,147.92,-0.02,-1.05,-15.5,33.5439154,-82.033838,0
335439074,-820338311,31,14758614,1012,144.32,144.04,147.04,-0.02,-0.55,-15.5,33.5439074,-82.0338311,0
335438990,-820338244,31,14896662,1163,143.2,144.02,146.61,-0.01,-2.36,-15.5,33.543899,-82.0338244,0
